therapeutic_class,spend_2019_b,spend_2023_b,growth_b,growth_pct,share_2019_pct,share_2023_pct,share_change_pts
Other,60.95,91.85,30.89,50.7,34.1,33.3,-0.8
Oncology (oral),18.19,25.99,7.8,42.9,10.2,9.4,-0.7
CV - Anticoag/Antiplatelet,12.91,25.86,12.95,100.3,7.2,9.4,2.2
Diabetes - GLP-1,5.27,22.21,16.94,321.4,2.9,8.1,5.1
Autoimmune/Biologic,9.09,19.37,10.28,113.1,5.1,7.0,1.9
Respiratory,12.93,17.31,4.38,33.9,7.2,6.3,-1.0
Diabetes - Insulin,15.41,16.3,0.89,5.8,8.6,5.9,-2.7
Diabetes - SGLT-2,2.6,14.14,11.54,444.6,1.5,5.1,3.7
HIV/Antiviral,7.92,9.34,1.42,17.9,4.4,3.4,-1.0
CNS/Psychiatric/Neuro,13.33,9.33,-4.0,-30.0,7.4,3.4,-4.1
Diabetes - Oral (legacy),7.08,7.69,0.61,8.6,4.0,2.8,-1.2
CV - BP/HF/Other,3.7,6.63,2.92,79.0,2.1,2.4,0.3
GI,4.04,4.42,0.38,9.4,2.3,1.6,-0.7
Pain/Opioid,2.8,2.76,-0.04,-1.5,1.6,1.0,-0.6
CV - Cholesterol/Statin,2.73,2.75,0.02,0.6,1.5,1.0,-0.5
