parent_brand,year,spend_b,benes,spend_per_bene,claims_per_bene,benes_yoy_pct
Bydureon,2019,0.49,106888.0,4580.0,4.7,
Bydureon,2020,0.51,93315.0,5443.0,5.1,-12.7
Bydureon,2021,0.44,92711.0,4749.0,4.0,-0.6
Bydureon,2022,0.36,54926.0,6476.0,5.1,-40.8
Bydureon,2023,0.28,45902.0,6190.0,4.6,-16.4
Byetta,2019,0.06,11574.0,5305.0,4.6,
Byetta,2020,0.05,8494.0,5613.0,4.7,-26.6
Byetta,2021,0.04,6282.0,6047.0,4.5,-26.0
Byetta,2022,0.03,4685.0,5870.0,4.2,-25.4
Byetta,2023,0.02,3396.0,6079.0,4.1,-27.5
Mounjaro,2022,0.14,54202.0,2657.0,2.2,
Mounjaro,2023,2.36,370203.0,6379.0,4.9,583.0
Ozempic,2019,0.55,142494.0,3877.0,3.7,
Ozempic,2020,1.46,269663.0,5399.0,4.5,89.2
Ozempic,2021,2.62,458643.0,5716.0,4.4,70.1
Ozempic,2022,4.63,780253.0,5932.0,4.4,70.1
Ozempic,2023,9.19,1464468.0,6278.0,4.7,87.7
Rybelsus,2019,0.0,308.0,1192.0,1.3,
Rybelsus,2020,0.07,27825.0,2640.0,2.4,8934.1
Rybelsus,2021,0.45,108224.0,4200.0,3.4,288.9
Rybelsus,2022,0.97,184615.0,5281.0,3.7,70.6
Rybelsus,2023,1.67,285693.0,5831.0,3.8,54.8
Trulicity,2019,2.27,392939.0,5784.0,5.4,
Trulicity,2020,3.28,497327.0,6605.0,5.7,26.6
Trulicity,2021,4.7,663858.0,7083.0,5.6,33.5
Trulicity,2022,6.23,840163.0,7410.0,5.5,26.6
Trulicity,2023,7.36,938731.0,7844.0,5.7,11.7
Victoza,2019,1.89,369393.0,5127.0,4.3,
Victoza,2020,1.9,326431.0,5806.0,4.4,-11.6
Victoza,2021,1.76,292114.0,6015.0,4.2,-10.5
Victoza,2022,1.56,249958.0,6232.0,4.1,-14.4
Victoza,2023,1.32,225990.0,5849.0,3.8,-9.6
